SeqWGS_WHSC1_CALL
SeqWGS_CCND3_CALL
SeqWGS_MYC_CALL
SeqWGS_MAFA_CALL
SeqWGS_CCND1_CALL
SeqWGS_CCND2_CALL
SeqWGS_MAF_CALL
SeqWGS_MAFB_CALL
