,ENSG00000002586,ENSG00000011451,ENSG00000026508,ENSG00000046653,ENSG00000071073,ENSG00000074201,ENSG00000074590,ENSG00000079931,ENSG00000090487,ENSG00000095397,ENSG00000099821,ENSG00000100678,ENSG00000105173,ENSG00000105723,ENSG00000105948,ENSG00000107331,ENSG00000109685,ENSG00000110066,ENSG00000110092,ENSG00000111885,ENSG00000116580,ENSG00000117643,ENSG00000118058,ENSG00000123453,ENSG00000128641,ENSG00000129048,ENSG00000130707,ENSG00000132688,ENSG00000132704,ENSG00000133121,ENSG00000134575,ENSG00000135048,ENSG00000137841,ENSG00000139318,ENSG00000140474,ENSG00000143224,ENSG00000143374,ENSG00000143776,ENSG00000146066,ENSG00000147606,ENSG00000148187,ENSG00000148334,ENSG00000149262,ENSG00000149294,ENSG00000149403,ENSG00000149480,ENSG00000149483,ENSG00000149554,ENSG00000150667,ENSG00000151012,ENSG00000151366,ENSG00000152332,ENSG00000152518,ENSG00000153933,ENSG00000154127,ENSG00000154229,ENSG00000154721,ENSG00000155495,ENSG00000155792,ENSG00000158796,ENSG00000159363,ENSG00000159403,ENSG00000159556,ENSG00000162236,ENSG00000162722,ENSG00000163346,ENSG00000163393,ENSG00000164828,ENSG00000165689,ENSG00000166411,ENSG00000167770,ENSG00000168067,ENSG00000168071,ENSG00000169857,ENSG00000170145,ENSG00000171680,ENSG00000172349,ENSG00000172531,ENSG00000172977,ENSG00000175793,ENSG00000176393,ENSG00000176406,ENSG00000179862,ENSG00000181690,ENSG00000181847,ENSG00000182742,ENSG00000183317,ENSG00000185475,ENSG00000185499,ENSG00000186265,ENSG00000186496,ENSG00000188266,ENSG00000196169,ENSG00000196482,ENSG00000196642,ENSG00000204241,ENSG00000205531,ENSG00000227051,ENSG00000231265,ENSG00000232346,ENSG00000233461,ENSG00000246898,ENSG00000249784,ENSG00000253764,ENSG00000261739,ENSG00000267890,ENSG00000269978
Pat_id1,8.134629221743,11.7365459764998,15.4896325651978,5.69930359798232,9.72559097874675,12.1219754897549,6.61232730525105,13.0108876045174,12.4165967599291,7.70283463483017,11.6486038489341,9.61043228004154,10.1839103359807,11.9329445389997,6.18900585264858,10.0042782814491,11.637980495896,11.1783839676336,12.4645738093331,14.0761592281359,10.8180428245071,9.88457687974456,12.3148161350233,3.5892734386725,7.27358649605106,4.67454561409256,7.82935745021175,5.15122774452785,11.4844928184279,8.52221922575504,11.471451200803,11.3541521158781,9.4393947400606,12.5988766293654,11.9349192636287,9.22340845406305,10.1956303908013,3.219522536155,11.6543448388258,5.07890194629679,9.81901259439254,11.2499922106456,10.5148881632743,13.2503055650978,10.3459553916014,12.9411419704789,10.6332332577823,10.2126433387978,6.00342129690257,7.41556020297385,10.016599109214,12.1571089239766,13.4514546194501,10.2050510940282,11.1158300724609,11.4847795016822,6.99392535875358,11.7529585747788,9.44077732327952,9.71827977827678,11.3217234303315,12.0700614311462,8.23447260753814,12.7331772509432,7.64749406235841,13.735622766047,6.97679083515226,11.6781490282536,10.7488399481207,11.4868725048084,11.9055584576973,10.5361254689026,12.9908020932323,10.6631307042783,10.0896463859322,6.93063548282812,13.5932650317221,13.1855112435324,10.9354928775527,5.12115031008583,10.9685032534259,6.29811337326005,3.77883834956951,7.51109054645513,6.46305378919076,7.74510020683952,7.51211031418979,10.9013947083293,5.54582247585489,11.6002679946804,6.03869967444534,7.14557177884125,9.73917015517967,9.96221672418043,12.180506542805,3.21436256350237,12.3569042603514,3.25989841497108,4.93722636289713,7.27698769259147,6.52893900941929,9.99761676951277,3.68228252893508,3.21883476835439,12.2169614785556,3.12848270383316,3.2615611535554
Pat_id2,6.14149776119516,11.9851623929317,13.6416965296197,7.39516681780151,10.5415924405357,11.9581425304791,3.29412528817038,10.8983278401508,12.1536650344152,11.840598365149,12.1995831344867,7.26792103647914,11.1468045778172,11.3208637484494,6.63308798500613,10.3577887605594,11.7900319260215,11.2916524782899,11.684490659215,13.9361406607945,11.2034852245264,8.0606375500468,13.6494860988244,7.24966919754235,6.66426907710616,5.3036281587884,9.2189637586295,3.67302181501637,7.89238867250043,8.59187880118125,11.3823966751628,12.0623993916153,7.16857985147248,12.4145379463283,14.3380751088176,10.6876940488734,9.73191906201333,2.08985724461794,11.546395969891,6.27622052014107,11.9246016145292,12.3300292323635,10.9050740974361,12.4633618023731,9.38799947998205,12.7849214332185,11.0698116651008,8.85383203238987,6.74225392613673,9.84096732665768,9.52961980453053,11.9080449999901,14.6977547455166,10.8648711710446,4.65420627043775,11.1719093261279,4.81314693668542,10.5876468278153,8.22351676566346,9.55979117929536,9.45539948727027,10.0360279223344,9.9696315997802,11.7747436076059,2.78682379076195,12.0106087444965,8.98352354205226,12.8508363937684,12.2856177180212,12.0568463710361,11.3970351001083,10.4940241260488,13.9698066627076,11.5489172755649,10.5489127259529,6.84793016453462,14.0696956682091,11.8226939564021,10.137195794592,5.52532319194998,9.541558231774,7.62166835957639,3.3322103927847,7.47515638071164,9.29810197301973,8.46266919178401,9.46344232702628,10.0038322487841,5.7978036623457,10.9456400466968,5.78928648123749,8.49375215844019,13.0724448522399,9.60672029326635,12.9883539220668,3.21436256350237,13.1775390840922,3.25989841497108,5.83288235345201,7.7502984985271,6.07539268808049,9.89609157897232,3.75932808046123,3.21883476835439,10.2817903168691,3.12848270383316,3.2615611535554
Pat_id3,5.808328640361,11.3028762274522,12.2840300643934,6.73093139904274,9.57124390067042,11.7587974053442,3.51388938981412,10.5305342444746,12.2063618814973,9.08246991394649,11.2053795307627,6.39307241445627,9.86993045445471,10.8168367285456,6.3474061446172,9.49131684421755,12.1856996545174,11.4115191035313,11.5640453946059,13.5877234578785,11.5263621777177,8.89843227180369,13.5737948911164,4.22466917588704,9.35598533079753,5.57611718696931,9.02795639628291,4.29264389819298,9.69583181283478,7.07925401384394,11.554946112578,8.00626712590361,11.0896141146372,10.0908188249165,13.3248148998152,10.318288418323,10.1724887833277,5.17884988357827,11.7141970063181,6.90778075051491,10.6845349589902,11.5338496116384,10.5655854883279,14.2805539724521,11.8214262412718,12.6176458489143,10.8718778048866,8.75329495252505,5.67285700083972,9.56742435606266,9.36969714792004,12.5124801565885,12.7863001034932,10.5700490358755,6.2787460954899,12.3647902882434,6.03431543929483,10.2965397995282,8.84434676550379,10.0426361307062,9.76293529958213,9.86034339900251,8.51598732221253,12.2825257201671,5.13147637504752,13.2952023812088,9.37760697124341,12.4492110971716,11.130848149248,11.4141413327323,11.8136625058712,11.1752377572004,13.3198500406387,10.8235296471545,10.5742238996186,6.69396991143639,13.0023252136648,12.4330512120547,10.4227196614114,5.72542015130576,10.4887322007961,4.51956961613841,6.56387875290552,8.69276035905878,7.5032177620654,6.78468556243263,8.49875036924028,10.3682351754533,6.18958021559962,11.6912797109644,6.67602929072251,6.87535489876649,11.0981489752692,11.5892520274482,12.323411685572,3.39163318358938,12.8622081858995,4.76271543441604,4.88798266991754,7.11812801136996,6.23290780583294,8.77801617090971,3.58566112369045,3.5514680646031,11.2848365338957,3.3725162289691,3.45279927543898
Pat_id4,6.44892970357934,11.7328641162114,6.8879220216558,6.82689814613583,8.96639188847171,10.8972491405838,3.81835082264305,11.9445677403299,11.8983072746306,12.5128302115687,11.9255494129203,5.56986671865903,10.3489420685873,10.9733031920736,7.53890293475516,10.0746952418584,11.5376603793972,10.7658194834214,8.98598764058091,14.7986322836447,11.6953927331457,4.48197295011221,11.9351136109977,4.0639844334352,6.34159885652585,5.45241125776521,12.0146304173755,12.4238888018569,11.966817938142,8.64683756960087,10.7037429907956,8.14546890354685,6.67328227922965,9.91267450315237,13.2534719151601,10.6938022340208,10.7895602563412,4.23127102963718,11.5027000102136,5.94151415132746,11.0629407468293,11.5571134641842,10.3269808529104,11.9248454678213,7.34348907543946,12.0929948767563,10.3857683313152,8.35337250044709,5.25446802939931,8.68716472368703,8.61209199153016,12.3245207077228,11.9978378713927,9.81203284067958,6.60133925021686,9.78390334404626,4.2907207121406,12.7389051410043,11.3544721878382,9.65816939856028,9.76183658051802,6.33685968695351,9.43431099871009,11.7346356844687,4.85789704570337,13.2019752237854,9.80364647220568,13.2955925628827,12.0149365049666,11.2318204668719,10.9419907203,8.75124222149463,12.6561728396926,10.8554944342232,9.91641330872556,7.05451413420201,12.6888497550066,11.6350375930243,9.93306868801429,5.50918566213717,10.1688721910101,8.14574878293048,3.76810615503166,5.61966850465852,4.95346533012615,7.82962791437395,5.95037481454539,10.3586365298417,9.57919753020226,13.090252611014,7.50316087683058,7.86238896500761,8.46085670176619,10.3775137874338,12.4419496286441,3.1921204265951,12.0669816229958,3.19400993256859,4.44983631242363,6.99499167438197,7.93791410279868,8.76115156492576,3.73245657348634,3.36732043564313,11.8455206819692,3.11045931336478,3.30005305986651
Pat_id5,6.1575642734246,12.3440713523434,7.51406335788348,6.81548380802071,9.45209057742046,11.4242521973923,4.12118731992847,12.1779744161698,11.5907494039024,9.0208871084501,12.1552055661375,5.41918954276332,9.74616957605706,11.6510682498894,7.60355983953684,11.0458019726313,12.0032062469053,10.6437575477265,6.22447828681304,14.9505604196549,11.7973679796186,5.41149788898745,11.394940485593,3.600530231636,11.0764101473014,6.49217935121028,9.77404875339735,15.1820625270979,13.0520992758216,8.50266821384822,10.5322393119568,9.91486561620561,7.38517931174206,11.2301059029361,12.5169629695314,10.7423151134435,10.6878602191937,4.38405376010612,11.2564475365679,6.59928512061597,10.9164123761861,11.3805790944791,9.8077686435067,12.0661303565016,8.54374268139201,11.5688739628882,10.141691606716,9.14099515735341,5.48777220031804,7.44427578706955,8.33222177471425,13.3600381445408,14.0931211645946,10.6237498600377,8.86271770665241,11.3245848024114,5.71637110746494,12.8220458443434,12.6919932131627,10.2346947744698,10.155008392279,8.1615651263063,8.95555231841562,11.3700436054479,5.69777989781792,13.3172327114516,10.4984385974652,13.296360532756,11.3307394202615,10.7182269994255,10.7981199218002,9.54305494199754,11.5708205425534,10.4087457815985,10.3958099508929,6.67240490622797,12.3206577801064,11.3987397490754,9.6776333941386,5.30399070017284,10.8606744391851,8.01407642406823,5.01409537228807,6.38352257641343,5.31887826643844,5.97305269978123,10.8305204107557,9.67483778667227,9.45258347916692,13.882217288541,8.28724864650287,6.0494298706604,8.37921590934425,7.12923701113945,12.5923233758171,3.1921204265951,11.6771249460721,3.19400993256859,3.08621128233744,6.4434058416331,7.71358927764263,8.92379876529309,4.53465745483631,3.36732043564313,11.052362539018,4.88823563211554,3.30005305986651
Pat_id6,6.79761748990557,11.5711224528624,14.2146086963322,6.46033169680554,9.72650013851371,11.5069654792634,3.93695658691826,12.4236426154091,12.0807140861251,12.2051070593631,12.0197412667353,5.18025767859361,10.5753346114994,10.9064139312639,7.0590112997695,10.3912136761464,12.4411858551935,11.3168118644133,13.8132778273434,15.0009072997914,11.338265070202,9.0278907185171,13.2727277853906,2.53250325867509,7.54617904880402,6.4563092113208,8.46286291248764,4.64522243500114,9.65497011660325,7.81281575339759,11.4944269865304,5.8330890809263,11.9065235470345,10.8184164379221,13.3056114433852,10.4757298426536,9.80375460862793,4.89231942346096,10.885421474302,7.84234152256917,10.8491288892958,12.0526031419934,10.4862181616804,7.93670262574188,10.6864701333009,12.3099015153345,10.7911141808787,8.77827915209387,8.19976156970397,8.62652582592384,9.17760909738019,11.8255108879818,13.530761812462,11.1910050328299,5.79953623738465,12.2318439279524,3.33962475078753,11.244935581372,6.23669247684978,9.73739844990841,9.64988941207972,8.56617853829718,7.40235267874132,11.4454778110014,3.86897539480123,12.708286834884,8.83017073340658,13.0221910053553,11.967478072734,11.1507680489866,11.4891963191895,10.7521084396251,13.5579587696853,11.1596582540495,10.3016836788958,5.96716808722794,12.0131863851298,12.123762604963,10.1686245274674,4.3933199493275,10.0757867565822,5.94681209016399,3.88671191930687,11.3434266355588,9.06948610451019,3.36905811323063,10.1124742341864,10.0163897946994,6.15248297508653,11.0062062546016,6.1114896645562,8.51301632542002,10.8839505850803,10.4229060931487,12.2941570498095,3.1921204265951,12.5633991863336,4.10633539887495,4.8327865443862,7.11456872297976,6.92739294276643,8.54083046130846,3.9939654514164,3.36732043564313,10.7635146120106,3.11045931336478,3.30005305986651
Pat_id7,6.27424335663811,11.2110591927926,8.97315069429236,6.44788510815893,6.48197617295406,13.2003818904676,3.87955338650031,11.3216447074387,11.3219038559025,6.8989140150114,11.0361863571641,5.58104044256842,9.64302882751325,10.9679097837759,5.90822265879533,9.79383512318173,12.0279200238005,11.0186538610364,13.4997428963702,12.8444570072421,11.1255181663816,6.92839111735943,14.5142845708428,8.50932645440488,3.80230446032722,6.76424875119725,12.5587215152694,4.89552580982101,10.1994975534286,8.16873463951395,11.5607620601942,11.7554215747222,11.0820355167689,10.1453678745168,12.1529116795073,8.70912417983717,10.2264464180179,3.69948392814285,11.1940059016417,5.12398357936103,11.2469574590277,11.8366819143202,11.4347232147338,12.0203050253679,11.9731224677151,13.2174549729278,11.1563383142131,9.46885885520371,5.23763502099776,7.29566340089272,10.2308456766557,12.1137142949125,12.2951755633653,11.5926786354759,11.1512031530974,13.0490232580082,8.33916005860963,10.1381144195312,11.6224168044329,9.71549232543368,9.37761869533415,12.1370044540226,11.0682592376775,12.9021876499654,4.24006219168942,13.3892729239336,6.53754624650759,11.2793038533936,11.0845456872624,11.3548094425821,12.4559978362441,10.8897298227719,13.9239585562305,10.7429847163768,10.6893192182178,6.15398783506038,11.4391454628002,12.7300739866608,10.3832337774759,4.98235286639926,10.4355919095646,4.59154791578759,5.08732088788871,4.58474767573153,8.79406537268832,10.122300738729,7.47112756731384,11.2016645117804,4.24260543448678,13.196801389453,6.00566957594041,5.87285949724248,9.14573630342182,10.2156746200759,12.6334963848402,3.1921204265951,13.6099082747685,3.19400993256859,4.86065558625808,6.92219281424192,5.10330294800555,10.5147364402143,3.7936591373436,3.36732043564313,7.55046051546461,3.11045931336478,3.30005305986651
Pat_id8,7.33448802918467,11.2389354778103,10.0197629636251,6.89379522524993,10.1393841864678,11.1183511697078,4.20424898328364,12.7873505949129,12.0426133524118,10.4327152194254,11.1779591844999,4.86740482460753,10.1508835116893,10.888951047045,7.75607525063333,6.3327780903928,12.1295795006816,11.1903178218756,6.13690403013309,13.562900197198,11.9714420277393,4.97755694577217,13.2781361416812,7.3777597092024,5.55834513784418,5.61436292407386,7.51607009877002,12.5591675312546,10.3638909157246,8.12773799343835,11.0266153780339,6.64939024777822,12.4133265340792,8.48904810314519,13.1300241092477,10.9139218824743,10.6931016568603,4.61716919027778,10.6496943661981,5.37143322229944,10.7817758432427,11.1912418107413,10.7655287199722,13.4594358990374,8.76979853810153,12.543839469467,10.6743873243864,8.26940842819601,6.7471989363598,6.38046221493655,8.96498492745008,12.5347730687704,13.9309899489936,11.5879699588404,7.03142674417941,11.5002820545272,4.64286687688184,9.07863626443251,5.37971855889025,9.78509504742916,9.06036552223741,8.43521093983107,5.4798810750306,11.6174978532385,5.16318885538044,13.0150162527781,9.97625789855155,11.9210131742338,10.8878119208897,11.2795743605068,10.8479942925887,11.2478833072852,13.3137979027259,11.3589240517355,10.3169035275353,6.18493954989368,12.9864229415098,11.9740519360941,9.71283000058791,6.06614590171544,11.5284097107451,2.7405460814362,5.08657218509791,10.3262611995072,8.34452570120432,6.60567639345558,11.0193625752621,10.1711151843088,4.59223300961549,10.3754455785553,7.69746920064137,7.23561686678202,10.3645760600219,10.4494039806369,12.4642916418395,3.1921204265951,12.4410484340056,3.19400993256859,5.10584068566649,6.95158330360004,6.80667027851146,6.52283346173113,4.31568482011772,3.36732043564313,7.52945891817212,3.11045931336478,3.30005305986651
Pat_id9,7.20180963720696,11.6673032282539,8.40799778214868,7.81031379154007,8.4354261323817,11.7939469195059,4.46207586598837,12.448770812651,11.9071926558171,10.6344162596004,12.0315850527356,6.82386539488981,9.57839954895094,10.799261865912,7.39850713204988,9.4524079644077,12.012305515328,11.1618709503618,13.1734589171587,13.7980810370648,11.647602825285,7.39747724902333,13.4086057453191,10.1582197109021,4.80330488260868,5.67897350571312,11.2500645657778,7.26062755213185,12.410475496482,8.20909674861732,11.1894455217155,10.9587453561956,8.36066704192514,11.8373568176751,13.5426405110749,11.4442142583383,10.2545573875592,5.02269823170061,11.5641448645899,6.75161514429719,11.4310596730846,11.9766932465093,10.9365640669473,13.9300730572947,11.5033123140223,12.2054261104401,10.8405107627927,9.61942758173739,6.07697158154822,8.61046791287909,9.10574874960593,11.8116945777911,12.3983863423509,10.5028113175665,6.26120631012605,11.7780979207158,5.48779132429819,11.8182090536294,9.78650511711357,9.7740700762391,10.7496398659727,10.5018145636173,9.79924062534197,11.9630840646609,4.7969741504033,11.720507433989,7.80726516166008,12.8490801581612,12.0539815777713,11.1325816681401,11.4976937379872,10.0134293771818,13.3582776763393,11.7448799494608,10.4572924162148,7.20801983220966,13.6074516217205,11.8655488348454,10.1351520401255,3.37735179768667,10.2538658077393,3.91605822627586,4.01775017263526,6.13459356927591,8.12998531762995,8.04769778678226,4.72743156247217,10.6593907450682,4.08825540503457,12.3173553259288,6.94102074567962,8.18735043740791,9.40943604334601,10.4565306460483,12.2157346479918,3.97355154569304,12.472959722939,3.97544105166653,4.75958847140183,7.5724649371673,6.3562410019014,8.48257773327947,3.65547859687792,3.36732043564313,11.0637074374012,3.11045931336478,3.30005305986651
Pat_id10,5.54535327250874,11.3762263216667,10.9105593107182,6.61975822910496,9.776975028344,11.7138596365774,3.2013261685942,12.5986764131506,11.6840438139343,10.3173190006676,11.5501177109409,7.86494619809819,10.184746784486,10.9937875978142,7.87875178531028,10.6482785021095,10.5080451997842,10.5958486607308,10.4006205089759,14.4697683232872,11.9416339931732,9.86923497970665,12.9646203355005,6.96281746670612,9.14572720755556,5.18297313472723,11.8183409712736,9.59595321445559,9.08676223768619,6.89585652282365,10.3884250992347,11.6536880257649,8.31936973960756,8.55498413380404,12.5106173116688,10.5523944284661,10.6664707467525,4.64526831387723,11.1372839110582,6.77011249287416,11.0329348125428,11.5351888063566,10.4255871865375,11.6764538218306,8.33894782456911,12.236066270246,10.6343179244411,9.55956114756995,6.25773576823248,9.36246060227561,9.31029664915115,12.7919679151546,13.5849457123517,10.4417046148342,5.43489408502317,11.5935166016438,5.05897459784147,11.472572942478,12.0715267740737,9.84540737074656,8.93023398750917,8.98291679870255,8.32403375778665,11.4907869999143,5.06456055508983,12.2654150805598,9.73790813929966,12.7509934945992,12.0418628208459,11.4572814938002,11.2650767456508,9.48358569165215,12.5857297668651,10.48007861758,10.6002159780894,7.3347137409373,12.6563291467717,11.221390130977,10.0260384916178,4.55485598878405,11.1132358286765,5.13423011148837,4.37142525596,9.08065707440113,6.70583776945321,7.58772748749351,9.97300948434125,9.65122494590282,7.23602660659993,10.2519405130908,7.22963676534738,8.961361333467,10.2751812750141,10.0555302477014,12.4084261368927,2.52916592927749,12.3608872691619,2.81303559225819,3.35451253815294,7.32116121778064,7.86493057736263,5.08072080551556,3.06967163719896,2.6424826592554,9.51352395936085,2.63230800279046,2.41340507434795
